[0.70869]: 6nc9p 5t77p
MurJ_25_03_unrelaxed_rank_3_model_4: 0.7296 0.9484
MurJ_25_03_unrelaxed_rank_4_model_1: 0.7069 0.8846
MurJ_25_03_unrelaxed_rank_5_model_2: 0.7435 0.9500
MurJ_26_01_unrelaxed_rank_1_model_5: 0.7521 0.9619
MurJ_26_01_unrelaxed_rank_2_model_3: 0.7598 0.9396
MurJ_26_01_unrelaxed_rank_3_model_2: 0.7682 0.9410
MurJ_26_01_unrelaxed_rank_4_model_4: 0.7832 0.9234
MurJ_26_01_unrelaxed_rank_5_model_1: 0.7871 0.9205
MurJ_26_02_unrelaxed_rank_1_model_3: 0.7564 0.9554
MurJ_26_02_unrelaxed_rank_2_model_5: 0.7562 0.9615
MurJ_26_02_unrelaxed_rank_3_model_2: 0.7850 0.9334
MurJ_26_02_unrelaxed_rank_4_model_4: 0.7814 0.9246
MurJ_26_02_unrelaxed_rank_5_model_1: 0.7359 0.8710
MurJ_26_03_unrelaxed_rank_1_model_3: 0.7713 0.9449
MurJ_26_03_unrelaxed_rank_2_model_5: 0.7634 0.9555
MurJ_26_03_unrelaxed_rank_3_model_4: 0.7836 0.9337
MurJ_26_03_unrelaxed_rank_4_model_2: 0.7881 0.9314
MurJ_26_03_unrelaxed_rank_5_model_1: 0.7881 0.9216
MurJ_29_01_unrelaxed_rank_1_model_5: 0.7725 0.7567
MurJ_29_01_unrelaxed_rank_2_model_3: 0.7362 0.8315
MurJ_29_01_unrelaxed_rank_3_model_4: 0.7265 0.8207
MurJ_29_01_unrelaxed_rank_4_model_1: 0.6870 0.8604
MurJ_29_01_unrelaxed_rank_5_model_2: 0.6942 0.8524
MurJ_29_02_unrelaxed_rank_1_model_4: 0.6916 0.8549
MurJ_29_02_unrelaxed_rank_2_model_3: 0.7406 0.8343
MurJ_29_02_unrelaxed_rank_3_model_5: 0.7024 0.8834
MurJ_29_02_unrelaxed_rank_4_model_2: 0.7161 0.8752
MurJ_29_02_unrelaxed_rank_5_model_1: 0.7026 0.8790
MurJ_29_03_unrelaxed_rank_1_model_3: 0.7310 0.8126
MurJ_29_03_unrelaxed_rank_2_model_1: 0.7471 0.8304
MurJ_29_03_unrelaxed_rank_3_model_5: 0.7455 0.7928
MurJ_29_03_unrelaxed_rank_4_model_4: 0.6950 0.8496
MurJ_29_03_unrelaxed_rank_5_model_2: 0.6917 0.8594
MurJ_30_01_unrelaxed_rank_1_model_5: 0.9423 0.7292
MurJ_30_01_unrelaxed_rank_2_model_2: 0.9410 0.7382
MurJ_30_01_unrelaxed_rank_3_model_3: 0.7856 0.8762
MurJ_30_01_unrelaxed_rank_4_model_4: 0.8577 0.7213
MurJ_30_01_unrelaxed_rank_5_model_1: 0.8731 0.7915
MurJ_30_02_unrelaxed_rank_1_model_3: 0.9295 0.7481
MurJ_30_02_unrelaxed_rank_2_model_2: 0.9240 0.7653
MurJ_30_02_unrelaxed_rank_3_model_5: 0.9431 0.7227
MurJ_30_02_unrelaxed_rank_4_model_4: 0.9364 0.7369
MurJ_30_02_unrelaxed_rank_5_model_1: 0.8120 0.7524
MurJ_30_03_unrelaxed_rank_1_model_3: 0.8206 0.8407
MurJ_30_03_unrelaxed_rank_2_model_5: 0.9363 0.7167
MurJ_30_03_unrelaxed_rank_3_model_1: 0.8798 0.7872
MurJ_30_03_unrelaxed_rank_4_model_4: 0.9048 0.7480
MurJ_30_03_unrelaxed_rank_5_model_2: 0.8985 0.7312
MurJ_31_01_unrelaxed_rank_1_model_5: 0.9378 0.7340
MurJ_31_01_unrelaxed_rank_2_model_3: 0.9350 0.7479
MurJ_31_01_unrelaxed_rank_3_model_2: 0.8953 0.7983
MurJ_31_01_unrelaxed_rank_4_model_4: 0.8891 0.6849
MurJ_31_01_unrelaxed_rank_5_model_1: 0.8724 0.8021
MurJ_31_02_unrelaxed_rank_1_model_5: 0.9347 0.7370
MurJ_31_02_unrelaxed_rank_2_model_2: 0.9430 0.7446
MurJ_31_02_unrelaxed_rank_3_model_3: 0.7578 0.9450
MurJ_31_02_unrelaxed_rank_4_model_4: 0.8833 0.6978
MurJ_31_02_unrelaxed_rank_5_model_1: 0.7889 0.7922
MurJ_31_03_unrelaxed_rank_1_model_2: 0.9448 0.7429
MurJ_31_03_unrelaxed_rank_2_model_5: 0.8737 0.6870
MurJ_31_03_unrelaxed_rank_3_model_4: 0.9457 0.7334
MurJ_31_03_unrelaxed_rank_4_model_1: 0.8852 0.8026
MurJ_31_03_unrelaxed_rank_5_model_3: 0.7672 0.9309
MurJ_32_01_unrelaxed_rank_1_model_3: 0.9179 0.7585
MurJ_32_01_unrelaxed_rank_2_model_2: 0.9239 0.7584
MurJ_32_01_unrelaxed_rank_3_model_4: 0.8609 0.7254
MurJ_32_01_unrelaxed_rank_4_model_5: 0.8628 0.7255
MurJ_32_01_unrelaxed_rank_5_model_1: 0.8613 0.7512
MurJ_32_02_unrelaxed_rank_1_model_3: 0.9158 0.7608
MurJ_32_02_unrelaxed_rank_2_model_2: 0.9151 0.7669
MurJ_32_02_unrelaxed_rank_3_model_4: 0.8602 0.7251
MurJ_32_02_unrelaxed_rank_4_model_1: 0.9093 0.7504
MurJ_32_02_unrelaxed_rank_5_model_5: 0.8634 0.7202
MurJ_32_03_unrelaxed_rank_1_model_3: 0.9146 0.7609
MurJ_32_03_unrelaxed_rank_2_model_4: 0.8653 0.7016
MurJ_32_03_unrelaxed_rank_3_model_2: 0.9436 0.7160
MurJ_32_03_unrelaxed_rank_4_model_5: 0.9258 0.7554
MurJ_32_03_unrelaxed_rank_5_model_1: 0.8517 0.7070
MurJ_34_01_unrelaxed_rank_1_model_3: 0.7804 0.9250
MurJ_34_01_unrelaxed_rank_2_model_5: 0.7566 0.9414
MurJ_34_01_unrelaxed_rank_3_model_2: 0.7973 0.9051
MurJ_34_01_unrelaxed_rank_4_model_4: 0.7434 0.8594
MurJ_34_01_unrelaxed_rank_5_model_1: 0.7974 0.8979
MurJ_34_02_unrelaxed_rank_1_model_3: 0.7735 0.9251
MurJ_34_02_unrelaxed_rank_2_model_2: 0.7926 0.9053
MurJ_34_02_unrelaxed_rank_3_model_5: 0.7694 0.9325
MurJ_34_02_unrelaxed_rank_4_model_4: 0.7244 0.7973
MurJ_34_02_unrelaxed_rank_5_model_1: 0.7529 0.8360
MurJ_34_03_unrelaxed_rank_1_model_3: 0.7772 0.9243
MurJ_34_03_unrelaxed_rank_2_model_5: 0.7788 0.9318
MurJ_34_03_unrelaxed_rank_3_model_2: 0.7963 0.9068
MurJ_34_03_unrelaxed_rank_4_model_4: 0.7483 0.8508
MurJ_34_03_unrelaxed_rank_5_model_1: 0.7591 0.8289
MurJ_35_01_unrelaxed_rank_1_model_3: 0.7723 0.9318
MurJ_35_01_unrelaxed_rank_2_model_5: 0.7842 0.9260
MurJ_35_01_unrelaxed_rank_3_model_2: 0.7886 0.9191
MurJ_35_01_unrelaxed_rank_4_model_4: 0.7444 0.8505
MurJ_35_01_unrelaxed_rank_5_model_1: 0.7938 0.8981
MurJ_35_02_unrelaxed_rank_1_model_3: 0.7665 0.9403
MurJ_35_02_unrelaxed_rank_2_model_2: 0.7975 0.9056
MurJ_35_02_unrelaxed_rank_3_model_1: 0.7995 0.9062
MurJ_35_02_unrelaxed_rank_4_model_4: 0.8007 0.8981
MurJ_35_02_unrelaxed_rank_5_model_5: 0.7617 0.9378
MurJ_35_03_unrelaxed_rank_1_model_3: 0.7762 0.9283
MurJ_35_03_unrelaxed_rank_2_model_1: 0.8101 0.8956
MurJ_35_03_unrelaxed_rank_3_model_5: 0.7760 0.9324
MurJ_35_03_unrelaxed_rank_4_model_4: 0.8019 0.9031
MurJ_35_03_unrelaxed_rank_5_model_2: 0.7981 0.9064
MurJ_36_01_unrelaxed_rank_1_model_5: 0.8673 0.8116
MurJ_36_01_unrelaxed_rank_2_model_3: 0.7890 0.8980
MurJ_36_01_unrelaxed_rank_3_model_1: 0.8665 0.8232
MurJ_36_01_unrelaxed_rank_4_model_4: 0.8336 0.8299
MurJ_36_01_unrelaxed_rank_5_model_2: 0.8110 0.8649
MurJ_36_02_unrelaxed_rank_1_model_5: 0.8652 0.8176
MurJ_36_02_unrelaxed_rank_2_model_3: 0.8187 0.8660
MurJ_36_02_unrelaxed_rank_3_model_1: 0.8674 0.8154
MurJ_36_02_unrelaxed_rank_4_model_4: 0.7939 0.8872
MurJ_36_02_unrelaxed_rank_5_model_2: 0.8083 0.8783
MurJ_36_03_unrelaxed_rank_1_model_5: 0.8635 0.8057
MurJ_36_03_unrelaxed_rank_2_model_4: 0.8517 0.8169
MurJ_36_03_unrelaxed_rank_3_model_3: 0.8038 0.8876
MurJ_36_03_unrelaxed_rank_4_model_1: 0.8662 0.8127
MurJ_36_03_unrelaxed_rank_5_model_2: 0.8127 0.8736
MurJ_37_01_unrelaxed_rank_1_model_3: 0.7736 0.9206
MurJ_37_01_unrelaxed_rank_2_model_5: 0.8628 0.8186
MurJ_37_01_unrelaxed_rank_3_model_2: 0.7587 0.9418
MurJ_37_01_unrelaxed_rank_4_model_1: 0.7853 0.9076
MurJ_37_01_unrelaxed_rank_5_model_4: 0.7287 0.8620
MurJ_37_02_unrelaxed_rank_1_model_3: 0.7630 0.9360
MurJ_37_02_unrelaxed_rank_2_model_2: 0.7479 0.9516
MurJ_37_02_unrelaxed_rank_3_model_4: 0.7533 0.8161
MurJ_37_02_unrelaxed_rank_4_model_5: 0.8161 0.8780
MurJ_37_02_unrelaxed_rank_5_model_1: 0.7832 0.9182
MurJ_37_03_unrelaxed_rank_1_model_3: 0.7489 0.9491
MurJ_37_03_unrelaxed_rank_2_model_5: 0.8912 0.7985
MurJ_37_03_unrelaxed_rank_3_model_2: 0.7501 0.9477
MurJ_37_03_unrelaxed_rank_4_model_1: 0.7801 0.9190
MurJ_37_03_unrelaxed_rank_5_model_4: 0.7400 0.8265
MurJ_38_01_unrelaxed_rank_1_model_3: 0.8097 0.8740
MurJ_38_01_unrelaxed_rank_2_model_4: 0.8673 0.8075
MurJ_38_01_unrelaxed_rank_3_model_5: 0.8692 0.8118
MurJ_38_01_unrelaxed_rank_4_model_1: 0.8685 0.8142
MurJ_38_01_unrelaxed_rank_5_model_2: 0.7849 0.9002
MurJ_38_02_unrelaxed_rank_1_model_3: 0.8411 0.8427
MurJ_38_02_unrelaxed_rank_2_model_5: 0.8654 0.8139
MurJ_38_02_unrelaxed_rank_3_model_4: 0.8290 0.8270
MurJ_38_02_unrelaxed_rank_4_model_2: 0.7974 0.8805
MurJ_38_02_unrelaxed_rank_5_model_1: 0.8549 0.8096
MurJ_38_03_unrelaxed_rank_1_model_3: 0.7905 0.8975
MurJ_38_03_unrelaxed_rank_2_model_5: 0.8679 0.8126
MurJ_38_03_unrelaxed_rank_3_model_4: 0.7932 0.7724
MurJ_38_03_unrelaxed_rank_4_model_2: 0.7990 0.8812
MurJ_38_03_unrelaxed_rank_5_model_1: 0.8651 0.8115
MurJ_41_01_unrelaxed_rank_1_model_3: 0.7584 0.9332
MurJ_41_01_unrelaxed_rank_2_model_1: 0.7545 0.7957
MurJ_41_01_unrelaxed_rank_3_model_5: 0.7694 0.9001
MurJ_41_01_unrelaxed_rank_4_model_4: 0.7771 0.8630
MurJ_41_01_unrelaxed_rank_5_model_2: 0.7245 0.8431
MurJ_41_02_unrelaxed_rank_1_model_3: 0.7676 0.9133
MurJ_41_02_unrelaxed_rank_2_model_4: 0.7594 0.8766
MurJ_41_02_unrelaxed_rank_3_model_5: 0.7873 0.8812
MurJ_41_02_unrelaxed_rank_4_model_1: 0.7293 0.8995
MurJ_41_02_unrelaxed_rank_5_model_2: 0.7608 0.9030
MurJ_41_03_unrelaxed_rank_1_model_3: 0.7618 0.9168
MurJ_41_03_unrelaxed_rank_2_model_5: 0.7783 0.8900
MurJ_41_03_unrelaxed_rank_3_model_4: 0.7594 0.8880
MurJ_41_03_unrelaxed_rank_4_model_1: 0.7681 0.8850
MurJ_41_03_unrelaxed_rank_5_model_2: 0.7874 0.8862
MurJ_42_01_unrelaxed_rank_1_model_3: 0.7749 0.9266
MurJ_42_01_unrelaxed_rank_2_model_5: 0.8505 0.8206
MurJ_42_01_unrelaxed_rank_3_model_2: 0.7653 0.9315
MurJ_42_01_unrelaxed_rank_4_model_4: 0.8151 0.8536
MurJ_42_01_unrelaxed_rank_5_model_1: 0.8228 0.8287
MurJ_42_02_unrelaxed_rank_1_model_3: 0.7487 0.9486
MurJ_42_02_unrelaxed_rank_2_model_5: 0.8260 0.8549
MurJ_42_02_unrelaxed_rank_3_model_2: 0.7814 0.9201
MurJ_42_02_unrelaxed_rank_4_model_4: 0.7901 0.9008
MurJ_42_02_unrelaxed_rank_5_model_1: 0.7441 0.8442
MurJ_42_03_unrelaxed_rank_1_model_3: 0.7681 0.9353
MurJ_42_03_unrelaxed_rank_2_model_5: 0.8575 0.8130
MurJ_42_03_unrelaxed_rank_3_model_2: 0.7772 0.9236
MurJ_42_03_unrelaxed_rank_4_model_4: 0.7443 0.8521
MurJ_42_03_unrelaxed_rank_5_model_1: 0.7475 0.8409
MurJ_43_01_unrelaxed_rank_1_model_5: 0.8455 0.8252
MurJ_43_01_unrelaxed_rank_2_model_3: 0.7569 0.9290
MurJ_43_01_unrelaxed_rank_3_model_4: 0.8084 0.8466
MurJ_43_01_unrelaxed_rank_4_model_2: 0.7756 0.9170
MurJ_43_01_unrelaxed_rank_5_model_1: 0.7497 0.8572
MurJ_43_02_unrelaxed_rank_1_model_5: 0.8518 0.8198
MurJ_43_02_unrelaxed_rank_2_model_3: 0.7752 0.9126
MurJ_43_02_unrelaxed_rank_3_model_4: 0.7871 0.8785
MurJ_43_02_unrelaxed_rank_4_model_2: 0.7812 0.9033
MurJ_43_02_unrelaxed_rank_5_model_1: 0.7916 0.8829
MurJ_43_03_unrelaxed_rank_1_model_5: 0.8527 0.8135
MurJ_43_03_unrelaxed_rank_2_model_3: 0.7511 0.9327
MurJ_43_03_unrelaxed_rank_3_model_4: 0.7838 0.8952
MurJ_43_03_unrelaxed_rank_4_model_2: 0.7694 0.9222
MurJ_43_03_unrelaxed_rank_5_model_1: 0.7777 0.8958
MurJ_44_01_unrelaxed_rank_1_model_5: 0.8535 0.8408
MurJ_44_01_unrelaxed_rank_2_model_3: 0.7577 0.9480
MurJ_44_01_unrelaxed_rank_3_model_4: 0.7918 0.9000
MurJ_44_01_unrelaxed_rank_4_model_2: 0.7804 0.9266
MurJ_44_01_unrelaxed_rank_5_model_1: 0.7397 0.8563
MurJ_44_02_unrelaxed_rank_1_model_5: 0.8547 0.8326
MurJ_44_02_unrelaxed_rank_2_model_3: 0.7547 0.9517
MurJ_44_02_unrelaxed_rank_3_model_4: 0.7444 0.8323
MurJ_44_02_unrelaxed_rank_4_model_2: 0.7651 0.9443
MurJ_44_02_unrelaxed_rank_5_model_1: 0.7750 0.9209
MurJ_44_03_unrelaxed_rank_1_model_3: 0.7525 0.9537
MurJ_44_03_unrelaxed_rank_2_model_4: 0.8358 0.8443
MurJ_44_03_unrelaxed_rank_3_model_5: 0.7584 0.8296
MurJ_44_03_unrelaxed_rank_4_model_2: 0.7568 0.9468
MurJ_44_03_unrelaxed_rank_5_model_1: 0.7867 0.9068
