[0.74656]: 6fhzp 3vvnp
PfMATE_28_01_unrelaxed_rank_3_model_2: 0.7363 0.9864
PfMATE_28_01_unrelaxed_rank_4_model_3: 0.7287 0.9834
PfMATE_28_01_unrelaxed_rank_5_model_1: 0.7318 0.9839
PfMATE_28_02_unrelaxed_rank_1_model_5: 0.7331 0.9852
PfMATE_28_02_unrelaxed_rank_2_model_4: 0.7364 0.9851
PfMATE_28_02_unrelaxed_rank_3_model_2: 0.7360 0.9864
PfMATE_28_02_unrelaxed_rank_4_model_3: 0.7270 0.9797
PfMATE_28_02_unrelaxed_rank_5_model_1: 0.7326 0.9842
PfMATE_28_03_unrelaxed_rank_1_model_5: 0.7362 0.9866
PfMATE_28_03_unrelaxed_rank_2_model_3: 0.7258 0.9798
PfMATE_28_03_unrelaxed_rank_3_model_2: 0.7374 0.9870
PfMATE_28_03_unrelaxed_rank_4_model_4: 0.7384 0.9851
PfMATE_28_03_unrelaxed_rank_5_model_1: 0.7330 0.9848
PfMATE_29_01_unrelaxed_rank_1_model_3: 0.7427 0.9897
PfMATE_29_01_unrelaxed_rank_2_model_5: 0.7437 0.9898
PfMATE_29_01_unrelaxed_rank_3_model_2: 0.7457 0.9896
PfMATE_29_01_unrelaxed_rank_4_model_4: 0.7469 0.9907
PfMATE_29_01_unrelaxed_rank_5_model_1: 0.7384 0.9873
PfMATE_29_02_unrelaxed_rank_1_model_3: 0.7463 0.9903
PfMATE_29_02_unrelaxed_rank_2_model_5: 0.7459 0.9896
PfMATE_29_02_unrelaxed_rank_3_model_2: 0.7455 0.9890
PfMATE_29_02_unrelaxed_rank_4_model_1: 0.7401 0.9879
PfMATE_29_02_unrelaxed_rank_5_model_4: 0.7469 0.9902
PfMATE_29_03_unrelaxed_rank_1_model_3: 0.7436 0.9897
PfMATE_29_03_unrelaxed_rank_2_model_2: 0.7465 0.9892
PfMATE_29_03_unrelaxed_rank_3_model_4: 0.7465 0.9904
PfMATE_29_03_unrelaxed_rank_4_model_5: 0.7437 0.9897
PfMATE_29_03_unrelaxed_rank_5_model_1: 0.7415 0.9882
PfMATE_30_01_unrelaxed_rank_1_model_5: 0.9674 0.7841
PfMATE_30_01_unrelaxed_rank_2_model_3: 0.9653 0.7875
PfMATE_30_01_unrelaxed_rank_3_model_4: 0.9599 0.7845
PfMATE_30_01_unrelaxed_rank_4_model_1: 0.9686 0.7860
PfMATE_30_01_unrelaxed_rank_5_model_2: 0.7649 0.9874
PfMATE_30_02_unrelaxed_rank_1_model_5: 0.9667 0.7832
PfMATE_30_02_unrelaxed_rank_2_model_3: 0.9588 0.7945
PfMATE_30_02_unrelaxed_rank_3_model_4: 0.9567 0.7941
PfMATE_30_02_unrelaxed_rank_4_model_1: 0.9688 0.7844
PfMATE_30_02_unrelaxed_rank_5_model_2: 0.9258 0.8443
PfMATE_30_03_unrelaxed_rank_1_model_5: 0.9629 0.7861
PfMATE_30_03_unrelaxed_rank_2_model_3: 0.9658 0.7845
PfMATE_30_03_unrelaxed_rank_3_model_4: 0.9621 0.7885
PfMATE_30_03_unrelaxed_rank_4_model_2: 0.9574 0.7909
PfMATE_30_03_unrelaxed_rank_5_model_1: 0.9724 0.7807
PfMATE_31_01_unrelaxed_rank_1_model_5: 0.7534 0.9872
PfMATE_31_01_unrelaxed_rank_2_model_4: 0.7646 0.9879
PfMATE_31_01_unrelaxed_rank_3_model_3: 0.7506 0.9912
PfMATE_31_01_unrelaxed_rank_4_model_2: 0.7495 0.9907
PfMATE_31_01_unrelaxed_rank_5_model_1: 0.7494 0.9899
PfMATE_31_02_unrelaxed_rank_1_model_5: 0.7532 0.9864
PfMATE_31_02_unrelaxed_rank_2_model_3: 0.7499 0.9915
PfMATE_31_02_unrelaxed_rank_3_model_2: 0.7473 0.9908
PfMATE_31_02_unrelaxed_rank_4_model_4: 0.8272 0.9360
PfMATE_31_02_unrelaxed_rank_5_model_1: 0.7467 0.9895
PfMATE_31_03_unrelaxed_rank_1_model_5: 0.7519 0.9863
PfMATE_31_03_unrelaxed_rank_2_model_4: 0.7593 0.9881
PfMATE_31_03_unrelaxed_rank_3_model_3: 0.7503 0.9911
PfMATE_31_03_unrelaxed_rank_4_model_2: 0.7421 0.9898
PfMATE_31_03_unrelaxed_rank_5_model_1: 0.7450 0.9894
PfMATE_32_01_unrelaxed_rank_1_model_5: 0.7374 0.9851
PfMATE_32_01_unrelaxed_rank_2_model_4: 0.7341 0.9842
PfMATE_32_01_unrelaxed_rank_3_model_3: 0.7308 0.9861
PfMATE_32_01_unrelaxed_rank_4_model_2: 0.7202 0.9797
PfMATE_32_01_unrelaxed_rank_5_model_1: 0.7284 0.9842
PfMATE_32_02_unrelaxed_rank_1_model_5: 0.7343 0.9847
PfMATE_32_02_unrelaxed_rank_2_model_4: 0.7330 0.9839
PfMATE_32_02_unrelaxed_rank_3_model_3: 0.7297 0.9850
PfMATE_32_02_unrelaxed_rank_4_model_2: 0.7171 0.9771
PfMATE_32_02_unrelaxed_rank_5_model_1: 0.7239 0.9816
PfMATE_32_03_unrelaxed_rank_1_model_4: 0.7359 0.9843
PfMATE_32_03_unrelaxed_rank_2_model_5: 0.7350 0.9846
PfMATE_32_03_unrelaxed_rank_3_model_3: 0.7307 0.9849
PfMATE_32_03_unrelaxed_rank_4_model_2: 0.7179 0.9785
PfMATE_32_03_unrelaxed_rank_5_model_1: 0.7280 0.9837
PfMATE_33_01_unrelaxed_rank_1_model_5: 0.7383 0.9895
PfMATE_33_01_unrelaxed_rank_2_model_4: 0.7444 0.9905
PfMATE_33_01_unrelaxed_rank_3_model_3: 0.7405 0.9871
PfMATE_33_01_unrelaxed_rank_4_model_1: 0.7301 0.9847
PfMATE_33_01_unrelaxed_rank_5_model_2: 0.7355 0.9878
PfMATE_33_02_unrelaxed_rank_1_model_5: 0.7414 0.9898
PfMATE_33_02_unrelaxed_rank_2_model_4: 0.7393 0.9900
PfMATE_33_02_unrelaxed_rank_3_model_3: 0.7392 0.9869
PfMATE_33_02_unrelaxed_rank_4_model_2: 0.7358 0.9876
PfMATE_33_02_unrelaxed_rank_5_model_1: 0.7308 0.9854
PfMATE_33_03_unrelaxed_rank_1_model_5: 0.7383 0.9895
PfMATE_33_03_unrelaxed_rank_2_model_4: 0.7479 0.9885
PfMATE_33_03_unrelaxed_rank_3_model_3: 0.7391 0.9867
PfMATE_33_03_unrelaxed_rank_4_model_2: 0.7363 0.9880
PfMATE_33_03_unrelaxed_rank_5_model_1: 0.7311 0.9856
PfMATE_34_01_unrelaxed_rank_1_model_5: 0.7295 0.9836
PfMATE_34_01_unrelaxed_rank_2_model_4: 0.7393 0.9884
PfMATE_34_01_unrelaxed_rank_3_model_2: 0.7259 0.9836
PfMATE_34_01_unrelaxed_rank_4_model_3: 0.7286 0.9837
PfMATE_34_01_unrelaxed_rank_5_model_1: 0.7303 0.9853
PfMATE_34_02_unrelaxed_rank_1_model_5: 0.7315 0.9852
PfMATE_34_02_unrelaxed_rank_2_model_4: 0.7386 0.9882
PfMATE_34_02_unrelaxed_rank_3_model_2: 0.7253 0.9836
PfMATE_34_02_unrelaxed_rank_4_model_3: 0.7282 0.9845
PfMATE_34_02_unrelaxed_rank_5_model_1: 0.7332 0.9859
PfMATE_34_03_unrelaxed_rank_1_model_5: 0.7296 0.9846
PfMATE_34_03_unrelaxed_rank_2_model_4: 0.7387 0.9879
PfMATE_34_03_unrelaxed_rank_3_model_3: 0.7273 0.9840
PfMATE_34_03_unrelaxed_rank_4_model_2: 0.7282 0.9851
PfMATE_34_03_unrelaxed_rank_5_model_1: 0.7304 0.9850
PfMATE_35_01_unrelaxed_rank_1_model_5: 0.7348 0.9865
PfMATE_35_01_unrelaxed_rank_2_model_4: 0.7410 0.9886
PfMATE_35_01_unrelaxed_rank_3_model_2: 0.7337 0.9869
PfMATE_35_01_unrelaxed_rank_4_model_3: 0.7326 0.9869
PfMATE_35_01_unrelaxed_rank_5_model_1: 0.7338 0.9854
PfMATE_35_02_unrelaxed_rank_1_model_5: 0.7337 0.9860
PfMATE_35_02_unrelaxed_rank_2_model_4: 0.7429 0.9889
PfMATE_35_02_unrelaxed_rank_3_model_2: 0.7340 0.9864
PfMATE_35_02_unrelaxed_rank_4_model_3: 0.7325 0.9867
PfMATE_35_02_unrelaxed_rank_5_model_1: 0.7323 0.9843
PfMATE_35_03_unrelaxed_rank_1_model_5: 0.7342 0.9865
PfMATE_35_03_unrelaxed_rank_2_model_4: 0.7416 0.9893
PfMATE_35_03_unrelaxed_rank_3_model_3: 0.7346 0.9876
PfMATE_35_03_unrelaxed_rank_4_model_2: 0.7321 0.9857
PfMATE_35_03_unrelaxed_rank_5_model_1: 0.7326 0.9849
PfMATE_36_01_unrelaxed_rank_1_model_5: 0.7477 0.9898
PfMATE_36_01_unrelaxed_rank_2_model_4: 0.7498 0.9908
PfMATE_36_01_unrelaxed_rank_3_model_3: 0.7448 0.9904
PfMATE_36_01_unrelaxed_rank_4_model_2: 0.7480 0.9922
PfMATE_36_01_unrelaxed_rank_5_model_1: 0.7430 0.9895
PfMATE_36_02_unrelaxed_rank_1_model_5: 0.7469 0.9881
PfMATE_36_02_unrelaxed_rank_2_model_3: 0.7441 0.9904
PfMATE_36_02_unrelaxed_rank_3_model_4: 0.7495 0.9911
PfMATE_36_02_unrelaxed_rank_4_model_2: 0.7437 0.9911
PfMATE_36_02_unrelaxed_rank_5_model_1: 0.7389 0.9886
PfMATE_36_03_unrelaxed_rank_1_model_5: 0.7473 0.9886
PfMATE_36_03_unrelaxed_rank_2_model_4: 0.7489 0.9897
PfMATE_36_03_unrelaxed_rank_3_model_3: 0.7449 0.9901
PfMATE_36_03_unrelaxed_rank_4_model_2: 0.7479 0.9920
PfMATE_36_03_unrelaxed_rank_5_model_1: 0.7428 0.9895
PfMATE_37_01_unrelaxed_rank_1_model_2: 0.7310 0.9854
PfMATE_37_01_unrelaxed_rank_2_model_4: 0.7393 0.9869
PfMATE_37_01_unrelaxed_rank_3_model_5: 0.7360 0.9868
PfMATE_37_01_unrelaxed_rank_4_model_3: 0.7313 0.9838
PfMATE_37_01_unrelaxed_rank_5_model_1: 0.7312 0.9859
PfMATE_37_02_unrelaxed_rank_1_model_2: 0.7328 0.9860
PfMATE_37_02_unrelaxed_rank_2_model_5: 0.7359 0.9868
PfMATE_37_02_unrelaxed_rank_3_model_4: 0.7420 0.9875
PfMATE_37_02_unrelaxed_rank_4_model_3: 0.7335 0.9854
PfMATE_37_02_unrelaxed_rank_5_model_1: 0.7333 0.9866
PfMATE_37_03_unrelaxed_rank_1_model_3: 0.7324 0.9858
PfMATE_37_03_unrelaxed_rank_2_model_5: 0.7369 0.9867
PfMATE_37_03_unrelaxed_rank_3_model_4: 0.7412 0.9871
PfMATE_37_03_unrelaxed_rank_4_model_2: 0.7322 0.9859
PfMATE_37_03_unrelaxed_rank_5_model_1: 0.7318 0.9860
PfMATE_38_01_unrelaxed_rank_1_model_5: 0.7435 0.9890
PfMATE_38_01_unrelaxed_rank_2_model_3: 0.7403 0.9897
PfMATE_38_01_unrelaxed_rank_3_model_2: 0.7322 0.9870
PfMATE_38_01_unrelaxed_rank_4_model_1: 0.7281 0.9848
PfMATE_38_01_unrelaxed_rank_5_model_4: 0.7668 0.9823
PfMATE_38_02_unrelaxed_rank_1_model_5: 0.7424 0.9902
PfMATE_38_02_unrelaxed_rank_2_model_3: 0.7415 0.9898
PfMATE_38_02_unrelaxed_rank_3_model_4: 0.7452 0.9887
PfMATE_38_02_unrelaxed_rank_4_model_2: 0.7341 0.9877
PfMATE_38_02_unrelaxed_rank_5_model_1: 0.7285 0.9859
PfMATE_38_03_unrelaxed_rank_1_model_5: 0.7435 0.9898
PfMATE_38_03_unrelaxed_rank_2_model_3: 0.7401 0.9898
PfMATE_38_03_unrelaxed_rank_3_model_4: 0.7438 0.9895
PfMATE_38_03_unrelaxed_rank_4_model_2: 0.7376 0.9886
PfMATE_38_03_unrelaxed_rank_5_model_1: 0.7321 0.9853
PfMATE_39_01_unrelaxed_rank_1_model_5: 0.7280 0.9770
PfMATE_39_01_unrelaxed_rank_2_model_3: 0.7387 0.9794
PfMATE_39_01_unrelaxed_rank_3_model_4: 0.7226 0.9730
PfMATE_39_01_unrelaxed_rank_4_model_2: 0.7210 0.9725
PfMATE_39_01_unrelaxed_rank_5_model_1: 0.7185 0.9700
PfMATE_39_02_unrelaxed_rank_1_model_5: 0.7346 0.9797
PfMATE_39_02_unrelaxed_rank_2_model_4: 0.7237 0.9738
PfMATE_39_02_unrelaxed_rank_3_model_3: 0.7392 0.9801
PfMATE_39_02_unrelaxed_rank_4_model_2: 0.7210 0.9739
PfMATE_39_02_unrelaxed_rank_5_model_1: 0.7187 0.9706
PfMATE_39_03_unrelaxed_rank_1_model_5: 0.7365 0.9824
PfMATE_39_03_unrelaxed_rank_2_model_3: 0.7386 0.9865
PfMATE_39_03_unrelaxed_rank_3_model_4: 0.7267 0.9748
PfMATE_39_03_unrelaxed_rank_4_model_2: 0.7245 0.9754
PfMATE_39_03_unrelaxed_rank_5_model_1: 0.7194 0.9710
PfMATE_40_01_unrelaxed_rank_1_model_5: 0.7330 0.9862
PfMATE_40_01_unrelaxed_rank_2_model_4: 0.7377 0.9870
PfMATE_40_01_unrelaxed_rank_3_model_2: 0.7287 0.9840
PfMATE_40_01_unrelaxed_rank_4_model_3: 0.7405 0.9883
PfMATE_40_01_unrelaxed_rank_5_model_1: 0.7305 0.9874
PfMATE_40_02_unrelaxed_rank_1_model_5: 0.7343 0.9873
PfMATE_40_02_unrelaxed_rank_2_model_4: 0.7394 0.9884
PfMATE_40_02_unrelaxed_rank_3_model_2: 0.7307 0.9856
PfMATE_40_02_unrelaxed_rank_4_model_1: 0.7331 0.9889
PfMATE_40_02_unrelaxed_rank_5_model_3: 0.7422 0.9887
PfMATE_40_03_unrelaxed_rank_1_model_5: 0.7344 0.9872
PfMATE_40_03_unrelaxed_rank_2_model_2: 0.7340 0.9857
PfMATE_40_03_unrelaxed_rank_3_model_4: 0.7401 0.9885
PfMATE_40_03_unrelaxed_rank_4_model_3: 0.7413 0.9887
PfMATE_40_03_unrelaxed_rank_5_model_1: 0.7397 0.9869
PfMATE_41_01_unrelaxed_rank_1_model_3: 0.7410 0.9839
PfMATE_41_01_unrelaxed_rank_2_model_5: 0.7414 0.9803
PfMATE_41_01_unrelaxed_rank_3_model_4: 0.7437 0.9881
PfMATE_41_01_unrelaxed_rank_4_model_2: 0.7349 0.9799
PfMATE_41_01_unrelaxed_rank_5_model_1: 0.7308 0.9855
PfMATE_41_02_unrelaxed_rank_1_model_3: 0.7410 0.9817
PfMATE_41_02_unrelaxed_rank_2_model_4: 0.7396 0.9878
PfMATE_41_02_unrelaxed_rank_3_model_5: 0.7396 0.9760
PfMATE_41_02_unrelaxed_rank_4_model_2: 0.7352 0.9798
PfMATE_41_02_unrelaxed_rank_5_model_1: 0.7329 0.9859
PfMATE_41_03_unrelaxed_rank_1_model_5: 0.7440 0.9808
PfMATE_41_03_unrelaxed_rank_2_model_3: 0.7430 0.9833
PfMATE_41_03_unrelaxed_rank_3_model_4: 0.7419 0.9874
PfMATE_41_03_unrelaxed_rank_4_model_2: 0.7357 0.9800
PfMATE_41_03_unrelaxed_rank_5_model_1: 0.7307 0.9848
PfMATE_42_01_unrelaxed_rank_1_model_5: 0.7405 0.9905
PfMATE_42_01_unrelaxed_rank_2_model_4: 0.7405 0.9912
PfMATE_42_01_unrelaxed_rank_3_model_3: 0.7355 0.9905
PfMATE_42_01_unrelaxed_rank_4_model_2: 0.7310 0.9878
PfMATE_42_01_unrelaxed_rank_5_model_1: 0.7351 0.9886
PfMATE_42_02_unrelaxed_rank_1_model_5: 0.7344 0.9892
PfMATE_42_02_unrelaxed_rank_2_model_4: 0.7380 0.9910
PfMATE_42_02_unrelaxed_rank_3_model_2: 0.7317 0.9883
PfMATE_42_02_unrelaxed_rank_4_model_3: 0.7352 0.9907
PfMATE_42_02_unrelaxed_rank_5_model_1: 0.7335 0.9883
PfMATE_42_03_unrelaxed_rank_1_model_5: 0.7367 0.9901
PfMATE_42_03_unrelaxed_rank_2_model_4: 0.7384 0.9908
PfMATE_42_03_unrelaxed_rank_3_model_2: 0.7312 0.9881
PfMATE_42_03_unrelaxed_rank_4_model_3: 0.7355 0.9904
PfMATE_42_03_unrelaxed_rank_5_model_1: 0.7338 0.9883
PfMATE_43_01_unrelaxed_rank_1_model_5: 0.7475 0.9872
PfMATE_43_01_unrelaxed_rank_2_model_4: 0.7512 0.9899
PfMATE_43_01_unrelaxed_rank_3_model_3: 0.7389 0.9874
PfMATE_43_01_unrelaxed_rank_4_model_2: 0.7432 0.9887
PfMATE_43_01_unrelaxed_rank_5_model_1: 0.7397 0.9879
PfMATE_43_02_unrelaxed_rank_1_model_4: 0.7501 0.9901
PfMATE_43_02_unrelaxed_rank_2_model_3: 0.7397 0.9868
PfMATE_43_02_unrelaxed_rank_3_model_5: 0.7464 0.9864
PfMATE_43_02_unrelaxed_rank_4_model_2: 0.7429 0.9881
PfMATE_43_02_unrelaxed_rank_5_model_1: 0.7392 0.9875
PfMATE_43_03_unrelaxed_rank_1_model_5: 0.7470 0.9880
PfMATE_43_03_unrelaxed_rank_2_model_4: 0.7523 0.9901
PfMATE_43_03_unrelaxed_rank_3_model_3: 0.7402 0.9869
PfMATE_43_03_unrelaxed_rank_4_model_2: 0.7417 0.9882
PfMATE_43_03_unrelaxed_rank_5_model_1: 0.7376 0.9873
PfMATE_44_01_unrelaxed_rank_1_model_5: 0.7390 0.9885
PfMATE_44_01_unrelaxed_rank_2_model_4: 0.7384 0.9892
PfMATE_44_01_unrelaxed_rank_3_model_3: 0.7358 0.9905
PfMATE_44_01_unrelaxed_rank_4_model_2: 0.7284 0.9858
PfMATE_44_01_unrelaxed_rank_5_model_1: 0.7320 0.9860
PfMATE_44_02_unrelaxed_rank_1_model_5: 0.7389 0.9884
PfMATE_44_02_unrelaxed_rank_2_model_4: 0.7378 0.9891
PfMATE_44_02_unrelaxed_rank_3_model_3: 0.7401 0.9921
PfMATE_44_02_unrelaxed_rank_4_model_2: 0.7289 0.9861
PfMATE_44_02_unrelaxed_rank_5_model_1: 0.7299 0.9857
PfMATE_44_03_unrelaxed_rank_1_model_5: 0.7420 0.9898
PfMATE_44_03_unrelaxed_rank_2_model_4: 0.7394 0.9897
PfMATE_44_03_unrelaxed_rank_3_model_3: 0.7378 0.9912
PfMATE_44_03_unrelaxed_rank_4_model_2: 0.7308 0.9875
PfMATE_44_03_unrelaxed_rank_5_model_1: 0.7331 0.9871
PfMATE_45_01_unrelaxed_rank_1_model_5: 0.7457 0.9901
PfMATE_45_01_unrelaxed_rank_2_model_4: 0.7492 0.9907
PfMATE_45_01_unrelaxed_rank_3_model_2: 0.7403 0.9897
PfMATE_45_01_unrelaxed_rank_4_model_3: 0.7456 0.9911
PfMATE_45_01_unrelaxed_rank_5_model_1: 0.7395 0.9888
PfMATE_45_02_unrelaxed_rank_1_model_5: 0.7455 0.9890
PfMATE_45_02_unrelaxed_rank_2_model_4: 0.7459 0.9900
PfMATE_45_02_unrelaxed_rank_3_model_3: 0.7432 0.9907
PfMATE_45_02_unrelaxed_rank_4_model_2: 0.7347 0.9882
PfMATE_45_02_unrelaxed_rank_5_model_1: 0.7394 0.9880
PfMATE_45_03_unrelaxed_rank_1_model_5: 0.7470 0.9896
PfMATE_45_03_unrelaxed_rank_2_model_4: 0.7477 0.9907
PfMATE_45_03_unrelaxed_rank_3_model_3: 0.7439 0.9910
PfMATE_45_03_unrelaxed_rank_4_model_2: 0.7349 0.9881
PfMATE_45_03_unrelaxed_rank_5_model_1: 0.7373 0.9879
