[0.7354]: 6xpfB 6xpfA
ZnT8_28_01_unrelaxed_rank_3_model_1: 0.7678 0.8446
ZnT8_28_01_unrelaxed_rank_4_model_5: 0.7613 0.8428
ZnT8_28_01_unrelaxed_rank_5_model_4: 0.7678 0.8436
ZnT8_28_02_unrelaxed_rank_1_model_2: 0.7587 0.8498
ZnT8_28_02_unrelaxed_rank_2_model_3: 0.8160 0.8449
ZnT8_28_02_unrelaxed_rank_3_model_5: 0.7618 0.8417
ZnT8_28_02_unrelaxed_rank_4_model_4: 0.7612 0.8414
ZnT8_28_02_unrelaxed_rank_5_model_1: 0.7721 0.8432
ZnT8_28_03_unrelaxed_rank_1_model_3: 0.8634 0.8331
ZnT8_28_03_unrelaxed_rank_2_model_2: 0.7624 0.8519
ZnT8_28_03_unrelaxed_rank_3_model_1: 0.7792 0.8456
ZnT8_28_03_unrelaxed_rank_4_model_5: 0.7641 0.8373
ZnT8_28_03_unrelaxed_rank_5_model_4: 0.7744 0.8414
ZnT8_29_01_unrelaxed_rank_1_model_1: 0.7753 0.8498
ZnT8_29_01_unrelaxed_rank_2_model_3: 0.7999 0.8492
ZnT8_29_01_unrelaxed_rank_3_model_2: 0.7564 0.8511
ZnT8_29_01_unrelaxed_rank_4_model_5: 0.7664 0.8448
ZnT8_29_01_unrelaxed_rank_5_model_4: 0.7603 0.8438
ZnT8_29_02_unrelaxed_rank_1_model_1: 0.7694 0.8458
ZnT8_29_02_unrelaxed_rank_2_model_3: 0.8066 0.8470
ZnT8_29_02_unrelaxed_rank_3_model_5: 0.7637 0.8467
ZnT8_29_02_unrelaxed_rank_4_model_2: 0.7578 0.8489
ZnT8_29_02_unrelaxed_rank_5_model_4: 0.7585 0.8415
ZnT8_29_03_unrelaxed_rank_1_model_1: 0.7705 0.8490
ZnT8_29_03_unrelaxed_rank_2_model_3: 0.8388 0.8478
ZnT8_29_03_unrelaxed_rank_3_model_2: 0.7569 0.8525
ZnT8_29_03_unrelaxed_rank_4_model_5: 0.7699 0.8462
ZnT8_29_03_unrelaxed_rank_5_model_4: 0.7589 0.8424
ZnT8_30_01_unrelaxed_rank_1_model_3: 0.8187 0.8493
ZnT8_30_01_unrelaxed_rank_2_model_2: 0.7546 0.8481
ZnT8_30_01_unrelaxed_rank_3_model_1: 0.7709 0.8491
ZnT8_30_01_unrelaxed_rank_4_model_5: 0.7670 0.8458
ZnT8_30_01_unrelaxed_rank_5_model_4: 0.7570 0.8391
ZnT8_30_02_unrelaxed_rank_1_model_3: 0.7940 0.8448
ZnT8_30_02_unrelaxed_rank_2_model_2: 0.7588 0.8484
ZnT8_30_02_unrelaxed_rank_3_model_5: 0.7647 0.8427
ZnT8_30_02_unrelaxed_rank_4_model_1: 0.7659 0.8458
ZnT8_30_02_unrelaxed_rank_5_model_4: 0.7568 0.8369
ZnT8_30_03_unrelaxed_rank_1_model_3: 0.8418 0.8444
ZnT8_30_03_unrelaxed_rank_2_model_2: 0.7630 0.8507
ZnT8_30_03_unrelaxed_rank_3_model_5: 0.7818 0.8488
ZnT8_30_03_unrelaxed_rank_4_model_1: 0.7799 0.8488
ZnT8_30_03_unrelaxed_rank_5_model_4: 0.7736 0.8359
